company_id,penyedia,alamat,kode_pos,situs_web,no_telp,no_fax
6,PT. Fokus Indo Lighting,"Jl. Pegangsaan Dua Km 2 No. 64 Kelapa Gading, Jakarta Utara 14250",14250,fokuslighting.co.id,021 4612110,021 4612108
8,PT. Honoris Industry,"Jl.Raya Bekasi Km.25, Cakung, Jakarta Timur DKI Jakarta",13910,www.honorisindustry.com,02518240322,0251-8240852
11,PT. Signify Commercial Indonesia,"Jl.Buncit Raya Kav 99, Gedung Philips",12510,www.signify.com,02180860400,0217940050
13,Pt. Citra Jelajah Informatika,"Jl. Paledang No.236 Kel. Campaka, Kec. Andir, Kota Bandung, Jawa Barat 40184",,http://www.cifo.co.id,022-2534484,022-2534757
21,MULTI DATA PALEMBANG,JL.Jend. Sudirman RT.029 RW.010 20 Ilir D-IV Ilir Timur I Palembang,30128,www.mdp.co.id,-,0711-313047
24,PT. Multi Media Access,Jl. Imam Bonjol Gedung Danagraha LT.03 No.303 Nagoya - Batam,29432,http://nms.multimedia-access.net,0778 6041868,0778 60010007
31,PT. DES TEKNOLOGI INFORMASI,"Raffles Hill Square Jl. Bukitraya No.8 A, Bukitsari",50264,http://www.des.net.id,0247471119,0247471119
32,Global Prima Utama,Jl Cik Di Tiro No. 1,55223,www.uii.net.id,0274555888,0274549254
33,PT. CYBER NETWORK INDONESIA,"Gedung Cyber Lt. 9, Jl. Kuningan Barat No. 8, RT/RW. 001/003 Kel. Kuningan Barat, Kec. Mampang Prapatan, Jakarta Selatan 12710",12710,,"021-7224466, 7224477",021-7221444
36,PT. Dewata Telematika,Jl. Teuku Umar Barat 335A,80113,http://detelnetworks.id,-,0361 723333
38,PT APLIKANUSA LINTASARTA,"Jl. MH Thamrin Kav. 3 Menara Thamrin Lt. 12, Kebon Kacang Tanah Abang",10250,www.lintasarta.net,021-2302345,"021-2302164, 3158870"
51,PT. Solo Jala Buana,Jl. Arifin No. 129 Solo,57129,www.solonet.net.id,-,0271-647900
57,PT Pasifik Satelit Nusantara,Kawasan Karyadeka Pancamurni Blok A kav.3 Desa Pasirsari Kec. Cikarang Selatan,17550,www.psn.co.id,021-89908111,021-89908110
62,PT. Saranainsan Mudaselaras,"Gedung Wisma Kodel Lt. 8 Jl. H.R. Rasuna Said Kav. B-4, Setia Budi, Jakarta Selatan - DKI Jakarta",12910,http://lifemedia.id,02152921599,02152921599
66,PT. Indonesia Comnets Plus,"Gedung PLN Jl. KH Abdul Rochim Kuningan Barat 1, Mampang Prapatan",12710,www.iconpln.co.id,0215253019,0215253659
70,PT. Arsenet Global Solusi,Jl. Hati Mulia No. 16 Oebobo,85112,www.arsenet.co.id,-,0380-834106
87,PT. Media Sarana Data,"Jl. Daradasih 11A, Patangpuluhan, Wirobrajan",55251,http://www.gmedia.net.id,0274-380345,0274-379593
88,PT. Imora Motor,"Jalan Pangeran Jayakarta No.50, Jakarta Pusat",10730,http://www.hondajakartacenter.com,-,021-6287295
114,PT. RADITA AUTOPRIMA,JL. RAYA PASAR MINGGU NO. 7 PANCORAN,12780,www.kiamobilplaza.com,-,021-7902859
126,PT. MULTIPARTS RAKINDO,"DSN. KARANGTIMONGO, DESA DENANYAR",61416,www.motorrodatiga.net,-,
127,PT Astra International Tbk-Honda Sales Operation,"Jalan Gaya Motor Raya No.8 Sunter II, Jakarta Utara Gedung AMDI B, Lantai 1-2",14330,www.astramotor.co.id,-,021 65310245
139,PT. NOZOMI OTOMOTIF INDONESIA,JALAN CIDENG TIMUR NO.15D,10130,www.nozomi.co.id,02146777888,0216320618
150,PT. Yamaha Indonesia Motor Manufacturing,Jl. DR. KRT. Radjiman Widyodiningrat,13920,www.yamaha-motor.co.id,021-4607880,021-4601710
